Image Number,Image Pair,SSIM,PSNR,Histogram
p1-nomor58,Original vs. telea,0.82,36.54,1.00
p1-nomor58,Original vs. lap,0.50,27.59,-0.00
p1-nomor58,Original vs. bilap,0.81,36.18,0.46
p1-nomor59,Original vs. Original,1.00,100.00,1.00
p1-nomor59,Original vs. ns,0.93,40.78,1.00
p1-nomor59,Original vs. telea,0.93,40.81,1.00
p1-nomor59,Original vs. lap,0.31,28.52,0.18
p1-nomor59,Original vs. bilap,0.93,40.54,1.00
p1-nomor60,Original vs. Original,1.00,100.00,1.00
p1-nomor60,Original vs. ns,0.97,41.86,1.00
p1-nomor60,Original vs. telea,0.96,41.92,1.00
p1-nomor60,Original vs. lap,0.47,28.11,-0.00
p1-nomor60,Original vs. bilap,0.96,41.51,1.00
p1-nomor61,Original vs. Original,1.00,100.00,1.00
p1-nomor61,Original vs. ns,0.83,37.91,1.00
p1-nomor61,Original vs. telea,0.83,38.05,1.00
p1-nomor61,Original vs. lap,0.22,28.28,-0.00
p1-nomor61,Original vs. bilap,0.81,37.98,0.98
p1-nomor62,Original vs. Original,1.00,100.00,1.00
p1-nomor62,Original vs. ns,0.94,39.36,0.93
p1-nomor62,Original vs. telea,0.94,39.27,0.95
p1-nomor62,Original vs. lap,0.44,28.40,-0.03
p1-nomor62,Original vs. bilap,0.94,39.06,0.45
p1-nomor63,Original vs. Original,1.00,100.00,1.00
p1-nomor63,Original vs. ns,0.96,44.75,1.00
p1-nomor63,Original vs. telea,0.96,44.81,1.00
p1-nomor63,Original vs. lap,0.69,29.27,-0.00
p1-nomor63,Original vs. bilap,0.96,44.55,0.79
p1-nomor64,Original vs. Original,1.00,100.00,1.00
p1-nomor64,Original vs. ns,0.88,39.21,0.99
p1-nomor64,Original vs. telea,0.88,39.38,0.99
p1-nomor64,Original vs. lap,0.43,28.18,0.10
p1-nomor64,Original vs. bilap,0.87,39.65,0.89
p1-nomor65,Original vs. Original,1.00,100.00,1.00
p1-nomor65,Original vs. ns,0.95,40.23,1.00
p1-nomor65,Original vs. telea,0.95,40.18,1.00
p1-nomor65,Original vs. lap,0.37,28.18,0.01
p1-nomor65,Original vs. bilap,0.95,39.89,0.96
p1-nomor66,Original vs. Original,1.00,100.00,1.00
p1-nomor66,Original vs. ns,0.90,36.97,0.91
p1-nomor66,Original vs. telea,0.90,37.14,0.90
p1-nomor66,Original vs. lap,0.42,28.62,0.21
p1-nomor66,Original vs. bilap,0.88,37.24,0.86
p1-nomor67,Original vs. Original,1.00,100.00,1.00
p1-nomor67,Original vs. ns,0.94,40.38,0.98
p1-nomor67,Original vs. telea,0.93,40.08,0.98
p1-nomor67,Original vs. lap,0.49,28.80,0.05
p1-nomor67,Original vs. bilap,0.93,39.40,0.56
p1-nomor68,Original vs. Original,1.00,100.00,1.00
p1-nomor68,Original vs. ns,0.82,34.67,0.47
p1-nomor68,Original vs. telea,0.82,34.63,0.37
p1-nomor68,Original vs. lap,0.35,28.08,-0.03
p1-nomor68,Original vs. bilap,0.77,34.14,0.01
p1-nomor69,Original vs. Original,1.00,100.00,1.00
p1-nomor69,Original vs. ns,0.95,39.93,0.98
p1-nomor69,Original vs. telea,0.95,39.98,0.99
p1-nomor69,Original vs. lap,0.47,28.93,-0.00
p1-nomor69,Original vs. bilap,0.95,39.81,0.88
p1-nomor70,Original vs. Original,1.00,100.00,1.00
p1-nomor70,Original vs. ns,0.87,39.37,1.00
p1-nomor70,Original vs. telea,0.87,39.37,1.00
p1-nomor70,Original vs. lap,0.51,29.89,0.36
p1-nomor70,Original vs. bilap,0.86,39.39,1.00
p1-nomor71,Original vs. Original,1.00,100.00,1.00
p1-nomor71,Original vs. ns,0.87,38.36,0.96
p1-nomor71,Original vs. telea,0.87,38.39,0.96
p1-nomor71,Original vs. lap,0.33,28.21,-0.00
p1-nomor71,Original vs. bilap,0.85,38.65,0.25
p1-nomor72,Original vs. Original,1.00,100.00,1.00
p1-nomor72,Original vs. ns,0.98,44.56,1.00
p1-nomor72,Original vs. telea,0.98,44.67,1.00
p1-nomor72,Original vs. lap,0.50,27.82,-0.00
p1-nomor72,Original vs. bilap,0.98,44.37,0.61
p1-nomor73,Original vs. Original,1.00,100.00,1.00
p1-nomor73,Original vs. ns,0.94,39.27,0.93
p1-nomor73,Original vs. telea,0.94,39.34,0.96
p1-nomor73,Original vs. lap,0.60,28.44,-0.01
p1-nomor73,Original vs. bilap,0.95,39.26,0.77
p1-nomor74,Original vs. Original,1.00,100.00,1.00
p1-nomor74,Original vs. ns,0.97,41.70,0.97
p1-nomor74,Original vs. telea,0.97,41.85,0.98
p1-nomor74,Original vs. lap,0.44,27.92,-0.02
p1-nomor74,Original vs. bilap,0.97,41.24,0.76
p1-nomor75,Original vs. Original,1.00,100.00,1.00
p1-nomor75,Original vs. ns,0.85,37.83,0.98
p1-nomor75,Original vs. telea,0.85,37.83,0.98
p1-nomor75,Original vs. lap,0.33,28.11,-0.01
p1-nomor75,Original vs. bilap,0.84,37.79,0.22
p1-nomor76,Original vs. Original,1.00,100.00,1.00
p1-nomor76,Original vs. ns,0.95,40.76,1.00
p1-nomor76,Original vs. telea,0.95,40.94,1.00
p1-nomor76,Original vs. lap,0.58,30.07,0.27
p1-nomor76,Original vs. bilap,0.95,40.93,1.00
p1-nomor77,Original vs. Original,1.00,100.00,1.00
p1-nomor77,Original vs. ns,0.89,39.70,0.90
p1-nomor77,Original vs. telea,0.89,39.67,0.90
p1-nomor77,Original vs. lap,0.36,28.26,-0.03
p1-nomor77,Original vs. bilap,0.88,39.60,0.09
p1-nomor78,Original vs. Original,1.00,100.00,1.00
p1-nomor78,Original vs. ns,0.95,40.20,0.93
p1-nomor78,Original vs. telea,0.95,40.07,0.96
p1-nomor78,Original vs. lap,0.34,28.37,0.02
p1-nomor78,Original vs. bilap,0.95,40.23,0.83
p1-nomor79,Original vs. Original,1.00,100.00,1.00
p1-nomor79,Original vs. ns,0.85,37.69,0.87
p1-nomor79,Original vs. telea,0.85,37.66,0.88
p1-nomor79,Original vs. lap,0.35,28.01,-0.03
p1-nomor79,Original vs. bilap,0.83,37.52,0.10
p1-nomor80,Original vs. Original,1.00,100.00,1.00
p1-nomor80,Original vs. ns,0.78,35.99,1.00
p1-nomor80,Original vs. telea,0.78,36.06,1.00
p1-nomor80,Original vs. lap,0.38,29.12,0.28
p1-nomor80,Original vs. bilap,0.77,36.35,0.98
p1-nomor81,Original vs. Original,1.00,100.00,1.00
p1-nomor81,Original vs. ns,0.85,37.10,0.79
p1-nomor81,Original vs. telea,0.85,37.14,0.81
p1-nomor81,Original vs. lap,0.32,27.89,-0.03
p1-nomor81,Original vs. bilap,0.84,37.07,0.05
p1-nomor82,Original vs. Original,1.00,100.00,1.00
p1-nomor82,Original vs. ns,0.90,39.09,1.00
p1-nomor82,Original vs. telea,0.90,39.09,1.00
p1-nomor82,Original vs. lap,0.38,29.78,0.34
p1-nomor82,Original vs. bilap,0.90,39.23,0.98
p1-nomor83,Original vs. Original,1.00,100.00,1.00
p1-nomor83,Original vs. ns,0.96,41.90,1.00
p1-nomor83,Original vs. telea,0.97,42.28,1.00
p1-nomor83,Original vs. lap,0.43,30.02,0.30
p1-nomor83,Original vs. bilap,0.96,40.91,1.00
p1-nomor84,Original vs. Original,1.00,100.00,1.00
p1-nomor84,Original vs. ns,0.99,46.92,0.98
p1-nomor84,Original vs. telea,0.98,46.55,0.94
p1-nomor84,Original vs. lap,0.69,30.15,0.42
p1-nomor84,Original vs. bilap,0.99,46.70,0.98
p1-nomor85,Original vs. Original,1.00,100.00,1.00
p1-nomor85,Original vs. ns,0.79,36.26,1.00
p1-nomor85,Original vs. telea,0.79,36.27,1.00
p1-nomor85,Original vs. lap,0.38,28.47,-0.00
p1-nomor85,Original vs. bilap,0.77,36.11,0.88
p1-nomor86,Original vs. Original,1.00,100.00,1.00
p1-nomor86,Original vs. ns,0.99,47.41,1.00
p1-nomor86,Original vs. telea,0.99,46.86,1.00
p1-nomor86,Original vs. lap,0.62,28.10,-0.01
p1-nomor86,Original vs. bilap,0.99,46.90,0.57
p1-nomor87,Original vs. Original,1.00,100.00,1.00
p1-nomor87,Original vs. ns,0.96,41.75,0.99
p1-nomor87,Original vs. telea,0.95,41.14,1.00
p1-nomor87,Original vs. lap,0.57,28.85,-0.00
p1-nomor87,Original vs. bilap,0.92,39.64,0.76
p1-nomor88,Original vs. Original,1.00,100.00,1.00
p1-nomor88,Original vs. ns,0.96,42.81,1.00
p1-nomor88,Original vs. telea,0.96,41.77,1.00
p1-nomor88,Original vs. lap,0.51,28.06,-0.00
p1-nomor88,Original vs. bilap,0.96,42.12,0.98
p1-nomor89,Original vs. Original,1.00,100.00,1.00
p1-nomor89,Original vs. ns,0.82,36.44,0.63
p1-nomor89,Original vs. telea,0.82,36.45,0.68
p1-nomor89,Original vs. lap,0.40,28.15,-0.04
p1-nomor89,Original vs. bilap,0.80,36.52,0.03
p1-nomor90,Original vs. Original,1.00,100.00,1.00
p1-nomor90,Original vs. ns,0.92,38.56,0.79
p1-nomor90,Original vs. telea,0.92,38.61,0.81
p1-nomor90,Original vs. lap,0.52,28.06,-0.04
p1-nomor90,Original vs. bilap,0.91,38.53,0.08
